City_Region,ZIP,Population_2021,Median_Household_Income,Percent_Household_Income_Greater_than_100000,Per_Capita_Income,Population_Male,Population_Female,Projected_Population_2026,Employed,Housing_units,Percent_Housing_Occupied,Percent_Family_households,Percent_Never_married,Education_Bachelors_degree
 Atlanta,30340,25964,49933.73,0.2381,24371.29,0.4873,0.5127,22223,0.7236,9872,0.9325,0.5721,0.444,0.3097
 Atlanta,30341,33161,64322.25,0.3645,38501.8,0.5084,0.4916,34439,0.727,13998,0.9175,0.5508,0.4415,0.5604
 Atlanta,30342,30128,91752.53,0.4956,79397.08,0.4698,0.5301,29856,0.7654,14690,0.8911,0.5754,0.3695,0.7106
 Atlanta,30344,32221,43330.84,0.1316,25641.37,0.4613,0.5387,31152,0.7043,16475,0.828,0.4468,0.5305,0.3338
 Atlanta,30345,26589,82105.15,0.4087,48791.21,0.5096,0.4904,28154,0.8022,11223,0.9519,0.5275,0.4288,0.5687
 Atlanta,30346,4765,92399.58,0.4608,66461.92,0.6392,0.3605,4291,0.8189,4040,0.7451,0.3821,0.4745,0.9172
 Atlanta,30349,78361,51782.85,0.2071,25782.43,0.4662,0.5337,85376,0.697,33051,0.8609,0.5765,0.5259,0.323
 Atlanta,30350,41219,69844.16,0.312,50420.46,0.4838,0.5162,44986,0.7607,19485,0.9081,0.5244,0.4493,0.5742
 Atlanta,30354,15519,41518.92,0.0952,20625.15,0.3921,0.6079,14301,0.7119,7906,0.8276,0.5277,0.5592,0.2254
 Atlanta,30360,16059,76166.28,0.3401,32589.19,0.5002,0.4998,16370,0.7403,5492,0.9685,0.7407,0.364,0.3973
 Atlanta,30363,4015,56822.85,0.2679,48631.35,0.6122,0.3875,4845,0.5714,2966,0.7664,0.1091,0.7848,0.7545
 Swainsboro,30401,13680,37938.07,0.1021,18956.86,0.4833,0.5167,13858,0.5371,5917,0.8893,0.6976,0.4408,0.1576
 Ailey,30410,1722,53554.92,0.2226,25310.07,0.5023,0.4977,1742,0.6649,908,0.7324,0.7308,0.1467,0.284
 Alamo,30411,5056,39517.93,0.0889,15842.84,0.5843,0.4155,5184,0.616,1539,0.7966,0.6117,0.4955,0.3115
 Alston,30412,52,50586.52,0.4348,31775.5,0.4231,0.5577,15,0.4746,32,0.7188,0.3913,0.1525,0.0351
 Bartow,30413,1759,42868.53,0.1147,19928,0.3957,0.6038,1572,0.4775,1012,0.586,0.5447,0.3951,0.1043
 Brooklet,30415,6816,55447.69,0.2256,26886.7,0.4272,0.5728,7330,0.6932,3209,0.8701,0.6873,0.269,0.1314
 Claxton,30417,10795,43072.88,0.1767,21526.48,0.5095,0.4905,10793,0.6021,4984,0.8335,0.6825,0.3233,0.1651
 Cobbtown,30420,684,32939.8,0.1017,23681.22,0.3889,0.6096,261,0.4426,512,0.8066,0.5036,0.3867,0.1869
 Collins,30421,2501,47277.16,0.2285,23753.86,0.5102,0.4894,1371,0.5723,1640,0.7018,0.7472,0.1661,0.2202
 Daisy,30423,171,27613.65,0,18290.4,0.6257,0.3684,166,0.4762,36,1,0.3611,0.14,0
 Garfield,30425,1451,54456.1,0.0624,22501.45,0.5183,0.4804,1623,0.6773,621,0.9291,0.6603,0.2449,0.159
 Girard,30426,698,41461.8,0.1429,18369.51,0.5659,0.4341,578,0.5447,278,0.7554,0.9429,0.0996,0.0171
 Glennville,30427,12936,47727.01,0.2373,22377.49,0.5643,0.4356,13728,0.4728,5085,0.885,0.7571,0.2803,0.1576
 Glenwood,30428,3013,32234.3,0.1152,15678.64,0.6767,0.3233,3354,0.3787,1213,0.5153,0.4864,0.4566,0.0173
 Hagan,30429,195,56186.72,0,9328.72,0.2308,0.7641,207,0.2941,27,1,1,0.7941,0.1275
 Louisville,30434,5222,29152.4,0.0786,19694.92,0.517,0.4828,4982,0.5477,2356,0.761,0.6843,0.4626,0.0872
 Lyons,30436,12028,35311.99,0.1882,20743.7,0.4528,0.5471,12237,0.5406,5891,0.7557,0.6689,0.2453,0.1375
 Manassas,30438,11,,0,18592.4,0.5455,0.3636,0,1,33,0.2727,0,0,0
 Metter,30439,10676,34636.96,0.1144,20456.78,0.5013,0.4987,10410,0.5595,4765,0.8474,0.6974,0.2907,0.1196
 Midville,30441,1658,38301.01,0.1164,24581.79,0.547,0.4524,1549,0.4548,862,0.7773,0.6,0.3208,0.1951
 Millen,30442,8075,28353.24,0.0566,14625.1,0.4126,0.5872,8548,0.4586,4303,0.6863,0.6109,0.2601,0.0651
 Mount Vernon,30445,4129,35785.8,0.1427,16038,0.528,0.4715,4532,0.3624,1375,0.8662,0.728,0.3664,0.1206
 Newington,30446,776,37699.4,0.1222,14754.81,0.5735,0.424,83,0.4567,459,0.5882,0.8,0.2749,0.0522
 Nunez,30448,102,95855.35,0.0769,30158.8,0.4216,0.5686,162,0.5732,36,0.7222,0.8077,0.3614,0.2131
 Oliver,30449,184,49530.77,0.14,25078.92,0.4946,0.5054,231,0.7634,67,0.7463,0.64,0.1042,0.0795
 Portal,30450,2120,32785.7,0.0182,15243.91,0.4236,0.5764,2035,0.4681,1046,0.7887,0.6436,0.2306,0.1163
 Pulaski,30451,47,,0.4737,33523.92,0.5319,0.4468,55,0.1951,27,0.7037,0.7368,0.1707,0.3529
 Register,30452,1628,45823.73,0.1197,23461.38,0.3993,0.6001,2032,0.5245,853,0.7245,0.6748,0.1308,0.2657
 Reidsville,30453,11173,33380.72,0.0893,12757.36,0.6876,0.3125,11962,0.2806,3394,0.8447,0.7014,0.4186,0.0815
 Rockledge,30454,938,30163.7,0.1704,19791.67,0.3881,0.6119,1166,0.3887,223,1,0.7444,0.195,0.0155
 Rocky Ford,30455,532,39091.05,0.1147,22410.29,0.5019,0.4962,572,0.4606,301,0.7243,0.8165,0.0873,0.1084
 Sardis,30456,2064,34527.2,0.1377,18877.28,0.4065,0.593,2036,0.5134,1090,0.7862,0.6593,0.3557,0.1211
 Soperton,30457,5492,34404.66,0.0945,24410.11,0.5311,0.4689,4844,0.4353,2846,0.7326,0.6772,0.2778,0.1195
 Statesboro,30458,44359,39796.11,0.1545,21579.66,0.4932,0.5068,45284,0.6297,18200,0.8786,0.5624,0.5191,0.2911
 Statesboro,30460,2795,,0,2741.6,0.4472,0.5524,4169,0.3653,0,0,0,0.9982,0.1368
 Statesboro,30461,14387,58055,0.273,28805.59,0.5187,0.4813,14827,0.6452,6444,0.901,0.6524,0.3249,0.3463
 Stillmore,30464,104,45885.81,0.1905,21650.77,0.4135,0.5769,132,0.4946,25,0.84,0.381,0.3978,0.098
 Sylvania,30467,12127,40153.36,0.1817,23385.86,0.4756,0.5243,12132,0.5294,5986,0.7521,0.6386,0.326,0.1714
 Tarrytown,30470,307,19279.68,0.0909,22963.13,0.6971,0.3029,258,0.7406,174,0.6954,0.3967,0.5205,0.1196
 Twin City,30471,4685,33093.67,0.0835,17099.86,0.5072,0.4926,4028,0.4952,2087,0.8491,0.662,0.2388,0.1324
 Uvalda,30473,2392,45079.14,0.1458,24971.68,0.5184,0.4816,2410,0.5993,1519,0.6412,0.6355,0.2143,0.1078
 Vidalia,30474,16814,44489.45,0.2109,29397.58,0.4602,0.5397,16574,0.5978,7431,0.8282,0.6202,0.2941,0.1695
 Vidalia,30475,0,,0,,0,0,0,0,0,0,0,0,0
 Wadley,30477,2686,33532.65,0.144,19000.25,0.4222,0.5774,2405,0.5422,1314,0.7664,0.5402,0.3324,0.0736
 Gainesville,30501,32346,47814.05,0.2022,23330.69,0.4815,0.5185,36300,0.6527,11871,0.8538,0.6143,0.4047,0.2106
 Gainesville,30504,29265,54177.99,0.2367,25191.9,0.5127,0.4873,33727,0.6073,10134,0.8845,0.7923,0.342,0.1951
 Gainesville,30506,44762,81493.08,0.4117,38104.57,0.4882,0.5118,46125,0.6482,18105,0.8521,0.7816,0.2533,0.3324
 Gainesville,30507,30831,53126.64,0.2368,21126.14,0.5011,0.4989,31730,0.617,9076,0.8574,0.8338,0.3308,0.1374
 Alto,30510,8860,43147.37,0.0984,14816.2,0.4248,0.5751,9171,0.5062,2778,0.8344,0.7092,0.3691,0.1012
 Baldwin,30511,4081,46983.48,0.1643,20709.28,0.5077,0.492,4278,0.5402,1360,0.9353,0.6604,0.2684,0.1016
 Blairsville,30512,22897,50947.16,0.2026,30621.07,0.4856,0.5143,26084,0.4672,13166,0.7125,0.7372,0.1799,0.2188
 Blue Ridge,30513,12632,52829.37,0.2037,30243.83,0.4778,0.5222,13997,0.4784,8638,0.6205,0.5946,0.192,0.237
 Bowersville,30516,2484,39835.45,0.1427,19863.13,0.5354,0.4642,3281,0.4881,1208,0.7889,0.8006,0.2009,0.1467
 Braselton,30517,17356,92230.62,0.4878,44573.96,0.4724,0.5275,21755,0.6716,5950,0.943,0.8054,0.2502,0.4019
 Buford,30518,56591,79745.3,0.4319,31941.47,0.4884,0.5116,63674,0.6684,18560,0.9626,0.7643,0.3267,0.3599
 Buford,30519,49913,88417.87,0.4746,37468.99,0.4902,0.5098,55338,0.6995,15846,0.963,0.802,0.2996,0.3731
 Canon,30520,6110,44160.47,0.2003,19477.43,0.5013,0.4987,7451,0.5321,2122,0.8728,0.8256,0.3998,0.1182
 Carnesville,30521,5292,48244.99,0.2116,23223.8,0.4989,0.5009,5673,0.5763,2405,0.7526,0.8155,0.2102,0.106
 Cherry Log,30522,1054,46286.4,0.1708,33164.53,0.5342,0.4649,1271,0.5609,755,0.6437,0.6626,0.1644,0.1522
 Clarkesville,30523,12588,53033.86,0.2198,30282.2,0.4661,0.5338,13029,0.5604,7347,0.6935,0.5615,0.2536,0.2845
 Clayton,30525,8208,40255.8,0.1518,30892.9,0.4571,0.5429,9594,0.4797,4796,0.6922,0.6892,0.2788,0.2414
 Clermont,30527,4183,57244.91,0.2508,25908.22,0.5075,0.4922,3849,0.5538,1782,0.9085,0.777,0.1978,0.2072
 Cleveland,30528,26528,51148.57,0.1996,26797.93,0.4825,0.5175,29542,0.5608,12663,0.7813,0.7754,0.2281,0.1916
 Commerce,30529,12536,51456.99,0.1858,24527.56,0.4749,0.525,14864,0.6486,5005,0.9315,0.6647,0.323,0.1896
 Commerce,30530,6536,54657.03,0.1702,23761.1,0.4963,0.5035,6448,0.5231,2627,0.9414,0.7113,0.1829,0.1801
 Cornelia,30531,11038,54275.04,0.2383,23013.14,0.5231,0.4768,11470,0.5752,4367,0.8496,0.6782,0.2456,0.1757
 Dahlonega,30533,28118,52868.08,0.2395,27893.3,0.4783,0.5216,30560,0.6022,11381,0.8647,0.6756,0.3538,0.284
 Dawsonville,30534,29480,65343.76,0.3435,32940.73,0.503,0.497,30136,0.6381,13489,0.8084,0.7026,0.2442,0.2856
 Demorest,30535,8072,44608.33,0.161,23936.34,0.4649,0.5349,8598,0.4405,3832,0.8168,0.7166,0.2753,0.2063
 Ellijay,30536,8870,55006.8,0.2081,30153,0.4782,0.5216,9828,0.5588,5334,0.6712,0.643,0.1713,0.2745
 Dillard,30537,1537,55901.03,0.1961,27056.8,0.473,0.5264,1574,0.4391,1689,0.3321,0.6613,0.1583,0.287
 Eastanollee,30538,3689,50070.43,0.2206,26190.67,0.5118,0.4879,4770,0.5575,1565,0.8198,0.8613,0.1635,0.1807
 Ellijay,30540,20803,52494.73,0.1991,25712.67,0.5,0.5,22640,0.5801,10561,0.7586,0.688,0.2156,0.1978
 Epworth,30541,1506,41193.99,0.1614,22317.95,0.5644,0.4349,1467,0.3233,943,0.6045,0.7895,0.2592,0.1262
 Flowery Branch,30542,37781,77795,0.4033,34706.19,0.5028,0.4972,39333,0.6469,14332,0.9119,0.7924,0.2723,0.3217
 Gillsville,30543,4964,62620.51,0.3345,26956.74,0.4676,0.5324,5386,0.5386,1891,0.7335,0.9084,0.2529,0.1747
 Helen,30545,866,45170.96,0.3073,34623.61,0.4561,0.5427,968,0.607,1011,0.4055,0.5098,0.1804,0.3642
 Hiawassee,30546,7568,51049.51,0.1911,29905.07,0.4485,0.5515,8592,0.4509,5777,0.6043,0.6511,0.1195,0.3073
 Homer,30547,3163,53691.36,0.2305,25391.65,0.4878,0.5119,3256,0.6178,1547,0.7628,0.7398,0.1668,0.1389
 Hoschton,30548,20172,89751.7,0.4589,39231.96,0.511,0.489,22284,0.627,7482,0.9448,0.7786,0.1926,0.4048
 Jefferson,30549,26922,68382.79,0.3448,29593.29,0.4803,0.5197,30427,0.5958,9551,0.9237,0.8098,0.2324,0.2622
 Lakemont,30552,1685,44415.64,0.1643,24204.4,0.5448,0.454,1542,0.4219,2007,0.3154,0.5419,0.3631,0.2661
 Lavonia,30553,8622,54031.15,0.1998,29624.13,0.4828,0.517,9770,0.5522,4594,0.7788,0.7236,0.2182,0.2376
 Lula,30554,8228,55318,0.1832,24602.01,0.4973,0.5026,8908,0.6073,3378,0.8434,0.7336,0.3339,0.1593
 Mc Caysville,30555,2369,37713.48,0.2536,25903.06,0.5217,0.4774,2442,0.5206,1276,0.7696,0.7067,0.2153,0.1799
 Martin,30557,5206,49659.3,0.1776,24197.11,0.4531,0.5465,5854,0.4816,2966,0.7195,0.7619,0.2259,0.2252
 Maysville,30558,5330,41921.59,0.1432,20540.67,0.536,0.4638,4769,0.4716,2091,0.8216,0.7317,0.312,0.1137
 Mineral Bluff,30559,4922,41438.78,0.1814,30054.48,0.4405,0.5593,5265,0.4594,2984,0.6873,0.6938,0.1569,0.215
 Morganton,30560,4955,52948.63,0.1676,28738.32,0.538,0.4618,5341,0.4347,3895,0.5792,0.7527,0.0836,0.3372
 Mountain City,30562,1520,33904.83,0.0171,15704.51,0.4586,0.5408,1859,0.3705,620,0.85,0.5825,0.2059,0.1259
 Mount Airy,30563,5660,59861.06,0.2508,23868.93,0.5187,0.4809,5131,0.6199,2096,0.9074,0.7829,0.1797,0.1868
 Murrayville,30564,3361,52223.76,0.1725,25157.13,0.524,0.4758,3015,0.623,1762,0.8388,0.703,0.2116,0.2289
 Nicholson,30565,4568,49171.56,0.1772,24425.04,0.5493,0.4505,4702,0.5807,2018,0.8726,0.6445,0.2129,0.1818
 Oakwood,30566,7535,56305.47,0.244,30611.73,0.4672,0.5327,7126,0.7008,2684,0.9344,0.6926,0.4226,0.2289
 Pendergrass,30567,3738,62150.52,0.2813,30853.35,0.546,0.4537,4154,0.6251,1337,0.896,0.8038,0.1671,0.1508
 Rabun Gap,30568,792,34494.94,0.2322,48740.75,0.8106,0.1869,0,0.2644,1157,0.4131,0.159,0.4284,0.2035
 Sautee Nacoochee,30571,3099,58438.06,0.1829,35625.03,0.5476,0.4521,2316,0.4276,2964,0.581,0.5964,0.1984,0.4356
 Suches,30572,427,36159.51,0.0413,23450.93,0.4286,0.5691,0,0.0144,1562,0.2638,0.5024,0.0833,0.2943
 Tallulah Falls,30573,37,143623.55,0.0833,31620.79,0.4324,0.5405,0,0.6579,59,0.2034,0.25,0.3514,0.3333
 Talmo,30575,2253,58687.21,0.259,22164.4,0.4802,0.5198,3462,0.5452,707,0.9066,0.9267,0.1987,0.1976
 Tiger,30576,2615,48401.89,0.1731,25856.88,0.5136,0.486,2920,0.4117,1562,0.5327,0.6767,0.2235,0.2232
 Toccoa,30577,20021,45044.39,0.1842,22305.95,0.4286,0.5714,17746,0.5618,9502,0.7804,0.6784,0.2719,0.2463
 Wiley,30581,168,,0,,0.4286,0.5655,325,0.1176,31,1,0.3871,0.2868,0
 Young Harris,30582,4655,45361.26,0.113,20203.99,0.4513,0.5484,3988,0.4288,3006,0.6297,0.6846,0.3678,0.3665
 Athens,30601,25087,26250.23,0.0814,16508.22,0.4727,0.5273,27126,0.5929,10999,0.9375,0.4631,0.5629,0.3205
 Athens,30602,3064,,0,2059.2,0.3068,0.6932,3462,0.2431,0,0,0,1,0.6087
 Athens,30605,42566,36580.07,0.1682,22549.67,0.4664,0.5336,44520,0.6209,18138,0.9763,0.4383,0.58,0.5293
 Athens,30606,46653,52848.31,0.3104,35342.49,0.5072,0.4928,51183,0.6753,20197,0.9515,0.5664,0.4176,0.5062
 Athens,30607,9828,54535.51,0.2112,24848.87,0.4831,0.5168,8022,0.6873,3668,0.9978,0.6995,0.4376,0.2838
 Athens,30609,2378,,0,3106.01,0.4861,0.513,2556,0.2683,0,0,0,0.9992,0
 Arnoldsville,30619,1155,54704.65,0.1058,27455.55,0.4597,0.5394,1039,0.6939,720,0.8139,0.5358,0.1355,0.1974
 Bethlehem,30620,15029,68293.46,0.2662,26548.76,0.462,0.5378,17399,0.6363,5289,0.9306,0.7568,0.2899,0.1767
 Bishop,30621,5569,104913.29,0.5664,45837.16,0.469,0.531,5649,0.6407,2123,0.9397,0.8521,0.2061,0.5101
 Bogart,30622,12918,66327.92,0.3324,35947.07,0.5468,0.4532,15322,0.6024,5301,0.9653,0.6985,0.2127,0.4678
 Bostwick,30623,0,92927.54,0,29648.98,0,0,0,0,3,1,0,0,0
 Bowman,30624,3367,41562.69,0.2055,18504.14,0.5224,0.4773,3515,0.583,1195,0.8552,0.7114,0.2476,0.0833
 Buckhead,30625,2140,68209.2,0.2885,33392.07,0.4972,0.5023,1906,0.6647,1267,0.6811,0.9096,0.2143,0.2574
 Carlton,30627,2688,41817.64,0.2315,23332.34,0.4766,0.5227,3201,0.4998,1423,0.7498,0.7179,0.2572,0.1735
 Colbert,30628,7282,66523.38,0.401,26869.25,0.5128,0.4871,7307,0.6924,2467,0.921,0.8415,0.2753,0.1986
 Comer,30629,5034,48296.12,0.1688,22920.89,0.5451,0.4547,5542,0.5936,1956,0.9571,0.6966,0.2776,0.1756
 Crawford,30630,2271,39370.19,0.1002,23058.74,0.4029,0.5967,2345,0.5091,1023,0.9462,0.5434,0.3754,0.1111
 Crawfordville,30631,1500,36691.13,0.1388,21900.6,0.5047,0.4953,1143,0.4656,960,0.5177,0.8048,0.4407,0.063
 Danielsville,30633,9268,54358.63,0.1588,24360.54,0.4692,0.5306,9643,0.613,3753,0.886,0.7844,0.212,0.2052
 Dewy Rose,30634,2084,32867.29,0.0568,17820.05,0.5216,0.4784,2347,0.4589,1285,0.6856,0.6822,0.0843,0.0465
 Elberton,30635,14605,39302.03,0.1633,24300.65,0.4712,0.5287,14061,0.5614,7792,0.7577,0.6474,0.3155,0.134
 Good Hope,30641,1973,44873.72,0.1732,26981.42,0.4065,0.5935,2016,0.6299,1067,0.8332,0.6344,0.1515,0.2959
 Greensboro,30642,12808,58876.63,0.3403,46135.35,0.4749,0.5251,14207,0.4649,7600,0.7154,0.7041,0.2323,0.3346
 Hartwell,30643,14419,41631.84,0.1498,23608.83,0.4637,0.5363,12113,0.4715,8091,0.6808,0.6585,0.2779,0.1679
 Hull,30646,6868,52714.44,0.2091,26068.49,0.4709,0.529,7308,0.6889,3118,0.9217,0.8577,0.2159,0.26
 Lexington,30648,2895,42311.4,0.2007,24787.24,0.5416,0.458,2608,0.6145,1200,0.9175,0.6485,0.1854,0.128
 Madison,30650,12578,66893.18,0.3524,36217.64,0.5087,0.4912,13725,0.6021,5245,0.9056,0.7133,0.2934,0.2152
 Monroe,30655,27349,49893.85,0.1918,24131.2,0.4771,0.5228,30223,0.5959,9877,0.9804,0.7199,0.3519,0.2092
 Monroe,30656,15407,64220.74,0.3364,29520.73,0.4999,0.5,15038,0.6329,5917,0.928,0.7363,0.2641,0.2709
 Rayle,30660,1270,40904.4,0.1582,14756.4,0.6661,0.3331,1380,0.4951,590,0.5356,0.8829,0.3449,0.0313
 Royston,30662,9109,34967.04,0.122,21340.34,0.526,0.4739,9378,0.5156,3957,0.8537,0.6024,0.3097,0.1416
 Rutledge,30663,2970,48950.2,0.197,22588,0.4468,0.5529,2705,0.5261,1153,0.9688,0.7395,0.2917,0.1372
 Sharon,30664,17,48172.69,0,31888.44,0.8235,0.1765,4,0.5882,23,0.5652,0.1538,0,0
 Siloam,30665,50,28510.97,0,8617.8,0.36,0.62,0,0.4815,38,0.5526,0.4286,0.44,0
 Statham,30666,11189,64896.54,0.3108,28692.27,0.5395,0.4604,12421,0.6263,3841,0.9576,0.8197,0.2657,0.2636
 Stephens,30667,853,65429.98,0.2981,27526.23,0.5111,0.4877,693,0.5329,486,0.6626,0.7391,0.2293,0.2098
 Tignall,30668,1464,39757.63,0.1057,25044.44,0.4604,0.5389,1350,0.5277,1257,0.5569,0.6586,0.2381,0.1752
 Union Point,30669,3309,31786.44,0.1162,18255.7,0.5141,0.4856,3267,0.4899,1561,0.8546,0.5465,0.3692,0.101
 Washington,30673,7228,37485.99,0.1882,27184.38,0.4733,0.5266,6800,0.5388,3711,0.8006,0.5725,0.3813,0.1193
 Watkinsville,30677,19255,82661.59,0.4842,44143.36,0.4623,0.5376,20600,0.6849,7490,0.9582,0.7858,0.2386,0.5378
 White Plains,30678,1342,64483.07,0.2845,31018.12,0.5775,0.4218,1309,0.5255,791,0.6043,0.7824,0.3927,0.1673
 Winder,30680,46717,59245.36,0.2377,23863.82,0.4804,0.5196,52313,0.6477,16534,0.9392,0.7534,0.2635,0.1899
 Winterville,30683,6472,46087.4,0.1584,25691.71,0.5051,0.4947,6156,0.5796,3228,0.8312,0.5822,0.2791,0.2792
 Calhoun,30701,41638,46571.04,0.1956,23922.52,0.4908,0.5092,43392,0.6371,15708,0.947,0.7494,0.2831,0.1625
 Chatsworth,30705,33843,49963.48,0.1767,22169.83,0.4962,0.5037,34080,0.5983,13423,0.8768,0.757,0.2046,0.0969
 Chickamauga,30707,16593,55001.54,0.2369,27785.74,0.4914,0.5086,17481,0.6418,7167,0.8913,0.6828,0.2237,0.1795
 Cisco,30708,202,105734.23,0.6341,38428.86,0.4356,0.5594,154,0.9091,102,0.8039,0.7073,0.3295,0
 Cohutta,30710,7468,68360.47,0.3277,29939.43,0.5139,0.4861,8206,0.6214,2847,0.9002,0.8627,0.2155,0.2584
 Crandall,30711,3407,49129.19,0.1354,23466.03,0.4922,0.5075,3343,0.6581,1690,0.8432,0.6281,0.2653,0.0976
 Dalton,30720,27400,53804.64,0.2037,26869.52,0.483,0.517,26342,0.5986,10372,0.8874,0.7226,0.2864,0.2559
 Dalton,30721,54045,43110.03,0.124,20267.82,0.4995,0.5005,54575,0.6228,20684,0.9089,0.6741,0.3036,0.1051
 Flintstone,30725,4762,50293.85,0.1851,25017.86,0.5071,0.4929,5246,0.5347,1882,0.8411,0.8181,0.2399,0.2736
 Graysville,30726,0,,0,,0,0,0,0,24,0,0,0,0
 La Fayette,30728,20799,41184.2,0.1233,21810.69,0.5076,0.4923,21094,0.5766,8740,0.8748,0.7354,0.267,0.12
 Lyerly,30730,1779,40972.02,0.1379,27989.15,0.4688,0.5306,1664,0.516,871,0.8657,0.7321,0.2308,0.1869
 Menlo,30731,2042,40562,0.314,28399.48,0.4809,0.5186,1594,0.6279,1263,0.7086,0.7285,0.1986,0.1545
 Plainville,30733,1918,34376.28,0.102,17964.76,0.5339,0.4656,1588,0.5586,766,0.9595,0.6381,0.2176,0.13
 Ranger,30734,4055,46539.92,0.2548,24024.54,0.4853,0.5144,4644,0.6561,1874,0.8063,0.73,0.0277,0.2042
 Resaca,30735,7104,47811.97,0.1858,29285.54,0.5044,0.4955,8367,0.5961,2744,0.9355,0.7585,0.179,0.0962
 Ringgold,30736,43683,66935.89,0.315,30338.69,0.4928,0.5072,45063,0.6331,17653,0.9129,0.7641,0.2326,0.2795
 Rising Fawn,30738,3596,47048.6,0.167,30023.7,0.4032,0.5962,3481,0.5165,1975,0.7792,0.7083,0.1514,0.1682
 Rock Spring,30739,7770,69847.48,0.3212,25249.38,0.5274,0.4725,9742,0.5618,2670,0.9468,0.7793,0.2707,0.2133
 Rocky Face,30740,8423,57116.79,0.2998,36979.8,0.5289,0.471,8479,0.5799,3788,0.9105,0.7199,0.2043,0.21
 Rossville,30741,27319,40230.29,0.1215,22786.78,0.46,0.54,24930,0.5322,13131,0.8326,0.6104,0.2356,0.1152
 Fort Oglethorpe,30742,7768,45012.8,0.1431,21401,0.4328,0.5671,7629,0.5265,3566,0.8561,0.5752,0.3003,0.132
 Sugar Valley,30746,762,44123.42,0.1557,25352.23,0.4843,0.5144,265,0.4156,437,0.8673,0.6438,0.1271,0
 Summerville,30747,15606,36693.56,0.1112,18219.89,0.5434,0.4565,15348,0.4432,6639,0.8278,0.6081,0.2925,0.1108
 Lookout Mountain,30750,4585,69516,0.4246,33464.88,0.4805,0.5193,4395,0.6333,1493,0.8393,0.7821,0.4278,0.5209
 Tennga,30751,38,54025.95,0,28545.24,0,1,32,0.3023,18,1,1,0,0
 Trenton,30752,8324,41152,0.1713,24707.86,0.5006,0.4993,8042,0.5258,3936,0.8692,0.6919,0.1925,0.107
 Trion,30753,7037,38948.03,0.0903,17390.68,0.4786,0.5212,7042,0.5914,3115,0.8212,0.5938,0.2027,0.0744
 Tunnel Hill,30755,10026,53952.17,0.1693,24727.69,0.4601,0.5398,11475,0.6123,3528,0.9997,0.7806,0.2183,0.1316
 Varnell,30756,117,19372.55,0,9802.4,0.5385,0.453,66,0.5641,84,0.9048,0.7368,0.2179,0
 Wildwood,30757,2178,28204.28,0.0721,26263.65,0.5505,0.449,2186,0.4889,1221,0.8182,0.7578,0.1833,0.3022
 Appling,30802,6408,66549.8,0.3346,26784.6,0.5694,0.4304,6958,0.5048,2730,0.6623,0.5658,0.3526,0.1965
 Avera,30803,1143,48335.29,0.0912,16347.4,0.4689,0.5302,1422,0.5689,409,0.7237,0.6723,0.2818,0.0702
 Blythe,30805,2395,39847.07,0.1498,25148.11,0.4326,0.567,2026,0.5283,998,0.9228,0.683,0.2946,0.1052
 Camak,30807,54,32365.08,0.0606,24442.23,0.5185,0.463,2,0.4074,57,0.5789,0.5758,0.1481,0
 Dearing,30808,4633,44880.58,0.1331,18176.61,0.4859,0.5139,5083,0.5232,1755,0.8046,0.7599,0.3035,0.1048
 Evans,30809,49888,109016.9,0.6197,40807.02,0.4865,0.5136,55317,0.6204,17112,0.8542,0.7879,0.3016,0.4646
 Gibson,30810,1922,49655.8,0.1813,23270.56,0.4703,0.5291,1821,0.4696,1083,0.6621,0.6709,0.3986,0.1199
 Gracewood,30812,407,,0,10798.8,0.7838,0.2138,448,0.0147,0,0,0,0.2727,0.07
 Grovetown,30813,49965,78176.68,0.3615,29250.25,0.5207,0.4793,61485,0.6777,19048,0.7908,0.7232,0.2777,0.283
 Harlem,30814,8582,59391.7,0.2845,23021.17,0.5267,0.4732,8814,0.5058,3586,0.6587,0.6185,0.3427,0.1014
 Hephzibah,30815,41279,53000.03,0.1722,23260.09,0.4558,0.5442,42138,0.6371,16822,0.8669,0.7115,0.3797,0.1724
 Keysville,30816,1930,64859.2,0.3477,30539.05,0.4394,0.5601,1956,0.4816,1137,0.7159,0.7408,0.1812,0.1238
 Lincolnton,30817,7881,41476.29,0.176,27349.13,0.4611,0.5386,8256,0.5304,4647,0.7375,0.6137,0.2458,0.1593
 Matthews,30818,577,81026.45,0.5606,26387.75,0.4021,0.5979,467,0.5752,199,0.995,0.5,0.4263,0.0033
 Mitchell,30820,967,35868.63,0.0667,19420.9,0.5253,0.4736,699,0.5187,566,0.689,0.4256,0.1536,0.1372
 Norwood,30821,771,52796.19,0.1828,31854.7,0.5318,0.4669,726,0.5,566,0.6572,0.6935,0.2544,0.1884
 Perkins,30822,359,24843.91,0,15304,0.8357,0.1616,0,0.9934,290,1,0.1862,0.2901,0.0579
 Stapleton,30823,1535,36673.54,0.1069,20106.46,0.4951,0.5042,1265,0.6235,658,0.6824,0.6637,0.5089,0.1693
 Thomson,30824,16861,40706.5,0.163,22833.92,0.4404,0.5595,16451,0.5744,7635,0.8823,0.6596,0.3462,0.1501
 Warrenton,30828,4075,34871.33,0.1128,23473.39,0.468,0.5318,3934,0.5462,2193,0.8568,0.6631,0.3611,0.1153
 Waynesboro,30830,13600,45957.11,0.2071,22846.65,0.4722,0.5278,12970,0.5948,5785,0.8379,0.7613,0.29,0.1798
