City_Region,ZIP,Population_2021,Median_Household_Income,Percent_Household_Income_Greater_than_100000,Per_Capita_Income,Population_Male,Population_Female,Projected_Population_2026,Employed,Housing_units,Percent_Housing_Occupied,Percent_Family_households,Percent_Never_married,Education_Bachelors_degree
 Roswell,30075,52595,124786.13,0.6413,60714.29,0.49,0.5099,50916,0.6531,20912,0.919,0.7669,0.236,0.6661
 Roswell,30076,48748,82594.13,0.4528,41813.24,0.4952,0.5048,52966,0.7443,17846,0.9607,0.6872,0.3745,0.5328
 Snellville,30078,36252,73962.33,0.3339,32783.54,0.4868,0.5132,37825,0.6623,11493,0.982,0.8173,0.3162,0.3724
 Scottdale,30079,3907,53518.76,0.1581,28836.06,0.4364,0.5636,4984,0.7578,1704,0.9466,0.5245,0.6024,0.2934
 Smyrna,30080,57456,73871.09,0.3724,46628.95,0.4946,0.5054,59924,0.7828,28283,0.9025,0.542,0.3741,0.569
 Smyrna,30082,29393,77601.19,0.3924,40684.09,0.478,0.5219,31326,0.7723,13354,0.9156,0.5986,0.3227,0.4547
 Stone Mountain,30083,59586,42296.25,0.1323,20316.97,0.4728,0.5272,63021,0.6678,22931,0.886,0.5889,0.5135,0.2393
 Tucker,30084,40027,70981.82,0.3626,34290.55,0.4932,0.5068,43333,0.6932,15452,0.9539,0.6281,0.3515,0.4324
 Stone Mountain,30087,41920,76851.4,0.3887,37524.61,0.471,0.529,46290,0.6769,15335,0.9712,0.7163,0.3883,0.442
 Stone Mountain,30088,31901,50479.11,0.1564,21857.4,0.4323,0.5677,35625,0.6271,11150,0.9843,0.5713,0.4452,0.2823
 Norcross,30092,37500,63201.2,0.343,41675.55,0.4811,0.5189,40673,0.7146,16164,0.9715,0.5638,0.3722,0.5116
 Norcross,30093,55839,45131.75,0.1178,18683.58,0.5218,0.4782,56009,0.7327,19384,0.9329,0.6264,0.5003,0.1804
 Conyers,30094,35201,73654.75,0.3785,29866.55,0.4672,0.5328,37314,0.583,12361,0.9328,0.787,0.3114,0.2759
 Duluth,30096,67637,56996.1,0.2336,29747.37,0.4768,0.5232,66233,0.6769,27466,0.9467,0.6141,0.3616,0.3983
 Duluth,30097,48175,110898.43,0.5668,54936.04,0.4779,0.5221,50649,0.6855,19013,0.9145,0.7889,0.221,0.6384
 Acworth,30101,60234,93398.07,0.5107,38873.03,0.5023,0.4977,62943,0.6806,20990,0.9643,0.7842,0.2917,0.4315
 Acworth,30102,45133,66963.58,0.3218,29546.08,0.4988,0.5011,51357,0.7203,16232,0.9698,0.6938,0.3188,0.3526
 Adairsville,30103,15584,48328.35,0.2044,23696.5,0.5253,0.4746,14989,0.667,6527,0.9303,0.7167,0.2015,0.1522
 Aragon,30104,5912,63394.46,0.2791,26229.02,0.5213,0.4787,7757,0.6007,1913,0.9216,0.8588,0.2792,0.0964
 Armuchee,30105,1548,46616.54,0.2415,27617.34,0.3773,0.6221,1102,0.5132,913,0.7755,0.6766,0.0921,0.2764
 Austell,30106,23476,55927.02,0.2295,26618.78,0.4431,0.5568,26470,0.6867,8868,0.9499,0.6538,0.3748,0.342
 Ball Ground,30107,13923,78973.75,0.3951,33689.51,0.5333,0.4666,13516,0.641,5263,0.9474,0.7413,0.2141,0.2738
 Bowdon,30108,7722,42302.46,0.1195,21725.98,0.535,0.4649,7964,0.5283,3256,0.9327,0.6615,0.2612,0.1398
 Bremen,30110,14075,49446.37,0.2355,26688.33,0.4769,0.5231,15272,0.6338,5597,0.9196,0.6886,0.2408,0.1797
 Buchanan,30113,6638,51905.46,0.2472,23145.11,0.4946,0.5053,6908,0.4704,2755,0.853,0.7583,0.217,0.0965
 Canton,30114,55771,76731.85,0.3696,34574.25,0.4988,0.5012,59036,0.6549,20467,0.9789,0.738,0.2627,0.3365
 Canton,30115,44845,101110.03,0.5726,38826.98,0.4873,0.5127,50959,0.6555,15112,0.9629,0.8461,0.2683,0.4133
 Carrollton,30116,25822,58077.61,0.2557,27789.73,0.4816,0.5183,28214,0.5985,9659,0.9702,0.7128,0.2413,0.2388
 Carrollton,30117,35922,46925.01,0.2258,24582.77,0.4698,0.5302,36156,0.606,14700,0.9005,0.6588,0.3995,0.2719
 Carrollton,30118,1865,,0,3084.4,0.3062,0.6933,1319,0.6263,0,0,0,0.9995,0
 Cartersville,30120,42219,61849.47,0.2707,28078.71,0.4871,0.5129,44479,0.6248,15976,0.9317,0.7839,0.2492,0.2184
 Cartersville,30121,25224,56593.64,0.2029,26606.72,0.4802,0.5198,27162,0.6222,9812,0.9491,0.6544,0.2522,0.1774
 Lithia Springs,30122,27491,56781.83,0.2134,25970.25,0.4862,0.5138,29917,0.7621,10061,0.9501,0.6246,0.4177,0.3151
 Cave Spring,30124,3065,55080.3,0.2659,26731.4,0.5237,0.476,3268,0.5425,1518,0.8373,0.6546,0.274,0.1742
 Cedartown,30125,23578,42645.16,0.1266,24579.18,0.4891,0.5108,22673,0.5765,10353,0.898,0.6023,0.3314,0.1256
 Mableton,30126,45106,84227.52,0.4643,40647.9,0.4752,0.5248,50637,0.7234,16644,0.9621,0.7545,0.3009,0.4304
 Powder Springs,30127,74788,80549.76,0.416,33757.52,0.4902,0.5098,86337,0.665,24510,0.9678,0.8282,0.3124,0.3848
 Dallas,30132,45320,66672.23,0.3408,28610.27,0.4857,0.5143,53186,0.5858,15702,0.9699,0.7541,0.2708,0.2186
 Douglasville,30134,43445,55533.57,0.2788,23974.76,0.465,0.535,43234,0.6492,15750,0.9484,0.7224,0.3635,0.2475
 Douglasville,30135,70101,77988.44,0.3944,30662.48,0.4783,0.5217,76396,0.6641,24424,0.9481,0.7447,0.2956,0.3162
 Emerson,30137,2153,54213.83,0.1944,25885.6,0.4863,0.5132,2674,0.6075,758,0.9908,0.6764,0.2258,0.1842
 Fairmount,30139,3896,55346.22,0.1248,23892.16,0.5336,0.4661,3616,0.5895,1629,0.841,0.7248,0.2275,0.19
 Hiram,30141,25130,67350.17,0.3266,29767.98,0.4859,0.5141,28066,0.6648,9631,0.9388,0.741,0.2978,0.2246
 Jasper,30143,23574,72402.77,0.3168,34022.85,0.4955,0.5045,25568,0.573,10728,0.8516,0.7239,0.2269,0.2482
 Kennesaw,30144,58174,71913.03,0.318,33697.58,0.4596,0.5404,61830,0.701,21920,0.9666,0.6024,0.4581,0.4637
 Kingston,30145,7262,66184.99,0.2434,27305.11,0.4968,0.5029,7086,0.532,2942,0.9358,0.7399,0.2609,0.1649
 Lindale,30147,5220,52312.48,0.2067,24985.36,0.4653,0.5345,6016,0.5681,1855,0.931,0.8425,0.3156,0.146
 Marble Hill,30148,989,45295.67,0,14675.98,0.5197,0.4793,1412,0.7803,312,0.75,0.9444,0.3762,0.0473
 Mount Berry,30149,2092,107988.78,0.5616,12182.66,0.3102,0.6898,2339,0.7043,81,0.9012,0.6849,0.9482,0.9431
 Kennesaw,30152,43290,93645.59,0.5027,41914.01,0.4821,0.5179,43240,0.6913,15991,0.9507,0.781,0.2821,0.5302
 Rockmart,30153,18820,48492.47,0.2102,22671.76,0.4872,0.5127,19398,0.6742,7291,0.8731,0.707,0.3014,0.1217
 Dallas,30157,49595,66521.89,0.2997,27337.4,0.4622,0.5378,50658,0.6601,18192,0.936,0.7845,0.2842,0.1828
 Rome,30161,33710,42894.62,0.1785,27057.53,0.4756,0.5243,32685,0.5182,15285,0.8922,0.625,0.3022,0.2315
 Rome,30164,0,,0,,0,0,0,0,0,0,0,0,0
 Rome,30165,42555,54422.94,0.2599,27768.79,0.5062,0.4938,44178,0.6151,16973,0.8964,0.7727,0.2921,0.2476
 Austell,30168,25023,48283.58,0.1915,21967.28,0.4635,0.5365,23192,0.8057,10727,0.8602,0.6869,0.4184,0.2328
 Roopville,30170,2663,56518.11,0.1964,27551.58,0.5419,0.4578,2299,0.6448,1328,0.8818,0.579,0.229,0.1507
 Rydal,30171,3442,68366.81,0.2738,30984.24,0.4974,0.5023,3564,0.6658,1323,0.9274,0.74,0.171,0.1149
 Silver Creek,30173,5503,38724.73,0.0891,19499.44,0.4294,0.5704,5200,0.5594,2301,0.8922,0.7594,0.2059,0.0955
 Talking Rock,30175,4675,58184.99,0.2396,27639.53,0.4483,0.5514,3271,0.532,2101,0.8901,0.6818,0.2005,0.2167
 Tallapoosa,30176,6407,44229.6,0.1941,24528.13,0.4646,0.5352,5812,0.5678,3133,0.9323,0.6251,0.1803,0.1814
 Tate,30177,1369,54178.6,0.2482,31571.4,0.683,0.3163,1586,0.6777,548,1,0.6186,0.0807,0.1474
 Taylorsville,30178,2827,50187.2,0.1214,25547.02,0.5242,0.4754,2674,0.3042,1291,0.8552,0.7654,0.3814,0.182
 Temple,30179,19017,64306.11,0.3209,26814.69,0.5064,0.4935,20387,0.6539,6616,0.9958,0.8341,0.2872,0.1661
 Villa Rica,30180,38540,68178.68,0.3364,29140.73,0.4749,0.525,41198,0.6604,13991,0.9483,0.7795,0.2708,0.2555
 Waco,30182,2335,35872.06,0.2071,24996.88,0.4552,0.5448,2135,0.5,1279,0.8984,0.6806,0.3263,0.1394
 Waleska,30183,7104,85768.14,0.5083,33396.91,0.4637,0.5362,8810,0.5417,2441,0.9398,0.8239,0.2945,0.2802
 White,30184,6092,70418.06,0.2727,32228.39,0.4844,0.5154,5214,0.5397,2789,0.8415,0.7375,0.2501,0.2559
 Whitesburg,30185,4661,55227.58,0.1268,22823.2,0.5162,0.4838,5229,0.5466,1740,0.9023,0.7529,0.1668,0.1058
 Winston,30187,7323,73669.4,0.2684,33537.54,0.5206,0.4793,6367,0.5685,3073,0.93,0.7078,0.2036,0.2141
 Woodstock,30188,69082,81529.14,0.4176,39036,0.4806,0.5194,78938,0.7116,27531,0.9577,0.7126,0.2112,0.4332
